cof,ASA_m^2/g,Density,LS,B,O,C,H,Si,N,S,Ni,Zn,Cu,Co,F,P,Cl,V,Br
21140N2,1544.49,0.778051,11.34279,0.0,0.0175438596491228,0.5614035087719298,0.3508771929824561,0.0,0.0701754385964912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20160N2,2007.5,0.516247,25.57282,0.0,0.0571428571428571,0.5142857142857142,0.4,0.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21230N2,5014.8,0.439893,10.07568,0.0,0.0521739130434782,0.417391304347826,0.4695652173913043,0.0,0.0608695652173913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21111N3,2814.76,0.598089,9.58888,0.0,0.0,0.5167785234899329,0.4630872483221476,0.0,0.0201342281879194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20491N2,1907.78,0.687281,18.73247,0.0,0.0256410256410256,0.5384615384615384,0.4102564102564102,0.0,0.0256410256410256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19210N2,2422.43,0.406917,27.59709,0.0,0.0,0.5294117647058824,0.392156862745098,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19362N2,2173.88,0.373694,36.72689,0.0,0.0,0.5833333333333334,0.3333333333333333,0.0,0.0416666666666666,0.0416666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15101N2,1511.65,0.681698,22.16326,0.0,0.1875,0.5,0.1875,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20310N2,5844.45,0.207679,28.9663,0.0,0.0,0.5454545454545454,0.3818181818181818,0.0,0.0545454545454545,0.0,0.0,0.0,0.0,0.0,0.0,0.0181818181818181,0.0,0.0,0.0
21130N2,2410.77,0.49363,21.09238,0.0,0.0277777777777777,0.5277777777777778,0.3611111111111111,0.0,0.0833333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16450N2,4003.15,0.361779,20.44724,0.0,0.0,0.5660377358490566,0.3584905660377358,0.0,0.0754716981132075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16141N2,2205.15,0.410772,30.56193,0.0,0.0454545454545454,0.5454545454545454,0.3636363636363636,0.0,0.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21201N2,2561.52,0.578522,14.26724,0.0,0.0363636363636363,0.5454545454545454,0.3454545454545454,0.0,0.0727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16340N2,3109.03,0.497826,14.05373,0.0,0.048780487804878,0.5365853658536586,0.3170731707317073,0.0,0.0975609756097561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18161N2,1608.91,0.716559,16.89116,0.0,0.0,0.5769230769230769,0.2692307692307692,0.0,0.1153846153846153,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19181N2,2037.93,0.521754,25.68521,0.0,0.0625,0.5,0.3125,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14060N2,3438.42,0.413466,18.55947,0.0,0.0,0.5609756097560976,0.3414634146341463,0.0,0.048780487804878,0.048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17155N2,1450.7,0.632277,19.382,0.0,0.073394495412844,0.4587155963302752,0.4311926605504587,0.0,0.036697247706422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
07001N2,1108.61,0.996063,9.14896,0.0714285714285714,0.1428571428571428,0.5714285714285714,0.2142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20380N2,1784.54,0.58779,22.84761,0.0,0.0714285714285714,0.5,0.2142857142857142,0.0,0.1428571428571428,0.0714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16370N2,1004.1,1.03186,6.73972,0.0,0.0,0.5,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
09010N2,1310.76,0.869092,13.70782,0.0714285714285714,0.0714285714285714,0.5714285714285714,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19570N2,1904.23,0.579217,18.27023,0.0,0.0,0.5813953488372093,0.3488372093023256,0.0,0.0697674418604651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13140N2,1019.7,1.05262,8.1834,0.1818181818181818,0.1818181818181818,0.3636363636363636,0.1818181818181818,0.0,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20031N2,1237.06,0.799548,16.09988,0.0196078431372549,0.0980392156862745,0.4313725490196078,0.3725490196078431,0.0,0.0784313725490196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20471N2,2239.16,0.429975,27.69353,0.0,0.0952380952380952,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17151N2,1931.81,0.510773,24.50352,0.0,0.0542168674698795,0.5,0.4036144578313253,0.0,0.0421686746987951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20651N3,1438.82,0.870706,9.32717,0.0,0.0222222222222222,0.5333333333333333,0.3555555555555555,0.0,0.0666666666666666,0.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,0.0,0.0,0.0
20540N2,815.662,1.07152,7.57719,0.0,0.05,0.5,0.35,0.0,0.075,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.0
21030N2,1484.82,0.644963,19.57498,0.0,0.0,0.5925925925925926,0.3703703703703703,0.0,0.037037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19240N3,556.699,0.865448,5.86904,0.0,0.0,0.5841584158415841,0.3762376237623762,0.0,0.0396039603960396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19182N2,2610.27,0.329164,38.83476,0.0,0.08,0.48,0.32,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13060N2,2035.0,0.618866,13.01888,0.0,0.0,0.5945945945945946,0.3513513513513513,0.0,0.054054054054054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16430N2,4342.55,0.440988,12.08106,0.0,0.0344827586206896,0.4482758620689655,0.4827586206896552,0.0,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16332N3,5144.89,0.275377,17.51716,0.0,0.1379310344827586,0.5172413793103449,0.2758620689655172,0.0,0.0689655172413793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20151N2,2016.15,0.575682,21.84179,0.0,0.0,0.5862068965517241,0.3448275862068966,0.0,0.0344827586206896,0.0344827586206896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
