cof,ASA_m^2/g,Density,LS
09010N2,1310.76,0.869092,13.70782
19570N2,1904.23,0.579217,18.27023
13140N2,1019.7,1.05262,8.1834
20031N2,1237.06,0.799548,16.09988
20471N2,2239.16,0.429975,27.69353
17151N2,1931.81,0.510773,24.50352
20651N3,1438.82,0.870706,9.32717
20540N2,815.662,1.07152,7.57719
21030N2,1484.82,0.644963,19.57498
19240N3,556.699,0.865448,5.86904
19182N2,2610.27,0.329164,38.83476
13060N2,2035.0,0.618866,13.01888
16430N2,4342.55,0.440988,12.08106
16332N3,5144.89,0.275377,17.51716
20151N2,2016.15,0.575682,21.84179
19022N3,6664.38,0.343281,10.98008
16351N2,1851.96,0.607177,23.4697
21100N2,2429.65,0.408199,27.68757
16200N2,1918.32,0.733503,12.96834
19281N2,2012.03,0.533802,29.55916
20563N3,2127.92,0.809619,8.28131
20441N3,1667.17,0.736551,10.24517
20052N2,1909.05,0.515219,26.26799
16173N2,2398.78,0.395166,31.48265
16031N2,2401.96,0.459652,20.89927
21311N3,1968.21,0.567372,21.70429
13020N2,4408.98,0.2551,28.38023
20652N2,1535.69,0.904244,9.79025
20153N2,1987.33,0.591735,21.3734
15200N3,5013.41,0.55678,8.20958
20450N2,2589.88,0.514154,14.87352
20311N2,7876.79,0.169088,34.43726
18110N2,1699.98,0.687086,16.51788
14072N2,4493.87,0.312968,21.4664
16011N2,2201.6,0.422249,29.37192
20220N2,2172.46,0.578389,16.06764
20201N2,1936.45,0.606834,17.24318
20402N2,3465.59,0.461471,13.579
20530N2,2923.26,0.536625,19.42127
21251N2,2308.32,0.467698,23.78086
18143N3,8329.8,0.109984,35.0199
19283N2,1867.26,0.597348,28.3007
19352N2,1894.98,0.605788,24.40536
15183N2,1608.62,0.560685,27.37273
16020N2,1986.38,0.557269,21.2104
13011N2,1495.99,0.497001,37.4441
16350N2,1775.47,0.502317,29.99816
15021N2,5092.18,0.30371,22.4952
21271N3,2339.87,0.720061,8.15208
20140N2,1688.27,0.770438,8.96948
11000N2,2655.65,0.560101,17.20303
16360N2,2113.18,0.53333,21.85709
18032N2,2133.83,0.589329,16.28451
10000N2,1252.87,0.904999,10.99477
16260N2,823.549,0.758254,13.527
20671N2,1325.05,0.888223,15.23076
20030N2,1152.32,0.772632,17.87167
15253N2,2083.8,0.515201,22.44368
19020N3,6827.64,0.303867,11.92097
19466N2,1979.13,0.477852,29.22245
18142N3,7584.71,0.141689,30.32292
20543N2,1123.67,0.872037,10.83606
16053N2,1854.02,0.515595,24.93805
19530N2,2477.07,0.389822,27.86404
21034N2,1696.83,0.78137,9.46002
20320N2,2523.38,0.339306,36.22341
17191N2,1949.64,0.632066,15.41149
19460N2,1859.08,0.619785,16.4355
05001N2,1715.89,0.583969,23.65787
15240N2,1984.71,0.455936,28.40894
16490N2,1384.15,0.917615,10.27456
13142N2,1204.21,0.917041,12.71089
19451N2,2406.12,0.354589,33.81681
19550N2,1744.99,0.59689,19.29454
15072N2,4353.82,0.351193,18.47163
17170N2,1667.96,0.716186,11.99864
19070N2,1925.0,0.511162,28.83691
07002N2,1584.87,0.698051,16.54198
19003N3,6956.97,0.288804,11.12571
16030N2,2203.78,0.428418,26.13967
21291N3,3315.45,0.378666,23.32506
17156N2,605.885,1.0499,5.56789
20653N2,1286.39,1.02561,9.20487
13182N3,941.577,1.05108,6.14398
19462N2,2029.64,0.554043,19.7347
19130N2,1898.53,0.574802,19.47106
20250N2,2628.03,0.311939,39.10948
13191N2,1801.46,0.602487,20.27141
20521N3,2034.07,0.629826,14.50976
21101N2,2352.44,0.42443,27.0837
15220N2,1670.25,0.764041,11.19018
20167N2,1695.71,0.585642,23.62181
16210N2,1541.74,0.691946,21.14298
13141N2,1519.59,0.765949,14.91096
16056N2,1825.71,0.528129,22.69839
18070N2,1715.91,0.776836,17.17805
19440N2,301.892,1.26899,4.84433
13000N2,445.215,1.59194,7.65128
19571N2,1980.66,0.566886,18.62708
15161N2,1715.49,0.612989,15.85081
19142N2,1594.19,0.582433,25.76234
15150N2,4072.47,0.388869,15.66522
12030N2,1634.65,0.654918,19.38979
11031N2,4463.64,0.281663,26.99882
15190N2,1502.13,0.89212,10.36567
19000N3,6283.22,0.207045,19.29611
21052N2,3661.97,0.378504,18.66837
21280N3,2785.67,0.290217,38.09649
16160N2,1702.92,0.644388,20.05475
21315N3,2344.95,0.389144,31.18528
14090N2,1820.67,0.555688,25.67443
14020N2,2257.22,0.509823,25.68704
12023N2,1457.81,0.610087,27.1624
20021N2,1915.51,0.54045,23.45923
19310N2,2121.12,0.534694,18.10869
19170N2,1358.73,0.659458,28.19438
20121N3,1373.52,0.833473,9.97566
21035N2,1698.61,0.780658,9.59384
19051N2,2232.03,0.383975,34.45228
13076N2,1080.76,1.01852,14.90134
20551N2,692.605,1.10359,8.54303
16330N2,2270.27,0.477343,23.65331
14070N2,2292.21,0.467273,23.47129
11002N2,2605.95,0.347833,32.49748
13170N2,4129.42,0.309017,25.51802
20620N2,1582.95,0.719234,12.95862
19190N2,2905.89,0.574363,11.88222
15081N2,4346.3,0.349547,18.54616
21073N2,1642.36,0.767301,14.31763
21072N2,1551.17,0.80652,14.01495
20360N2,1988.61,0.420387,32.23249
20581N2,1949.36,0.613707,16.24084
15186N2,1920.25,0.363876,44.62581
19361N2,2235.71,0.38916,33.24253
13181N3,1074.38,0.978324,5.27018
21200N2,2159.52,0.496452,22.25008
18083N2,2357.43,0.549072,18.16021
11030N2,4041.45,0.361779,20.45694
19572N2,2026.89,0.609996,16.26354
18150N2,1328.84,0.92742,13.78326
16480N2,1945.75,0.567406,18.52304
12000N2,1618.42,0.705665,16.14031
16080N2,2192.22,0.512828,16.90398
21314N2,2664.51,0.321533,34.59008
14091N2,1953.55,0.554271,22.52384
20281N2,2278.92,0.478073,22.82201
16050N2,1427.05,0.763077,15.08117
20631N2,1993.18,0.537877,31.11791
19353N2,1911.49,0.651469,13.44179
21070N2,1396.22,0.848808,14.59786
07013N3,6422.21,0.170478,27.47264
19480N2,2487.87,0.488964,22.62047
21021N2,3327.8,0.619388,6.66131
13110N2,3116.7,0.537289,12.905
16271N2,2452.61,0.438409,32.3342
19511N2,2204.45,0.477275,23.11543
16120N2,1720.4,0.682814,16.08953
20411N2,2472.61,0.64527,9.26592
07011N3,5296.19,0.388736,9.68318
20141N2,1801.27,0.706503,9.86201
21050N2,3929.47,0.359797,19.34281
19280N2,2228.19,0.54299,26.44235
19540N2,1352.19,0.770136,23.24133
15250N2,2231.75,0.469734,23.50203
16058N2,1696.59,0.606977,22.92273
18033N2,2685.16,0.509455,15.91973
19140N2,1416.68,0.910414,14.0117
19340N2,1896.64,0.664991,15.27488
19311N2,2148.81,0.540706,17.92967
16251N3,7294.23,0.279806,13.46817
20164N2,2210.3,0.460211,25.87293
19380N2,1971.65,0.569857,18.53359
21032N2,1566.9,0.645573,20.31958
18140N2,3140.2,0.40444,18.52351
16310N2,4363.38,0.48852,9.70729
16500N2,1576.25,0.92111,12.07235
15182N2,1639.14,0.546974,28.61691
16170N2,2159.32,0.539708,18.65543
15162N2,1557.32,0.770248,12.01319
19090N2,1964.79,0.471219,28.64646
15060N2,2017.09,0.634104,14.78901
16361N2,2424.57,0.37311,33.91137
20162N2,1462.2,0.655335,23.46924
18134N3,2688.83,0.54766,13.6119
13010N2,1374.35,0.58509,30.61493
19191N2,1058.22,0.829693,6.09493
20500N3,4577.75,0.443234,12.1317
